method,rank,seed,step,x_half_width_m,y_half_height_m,horizontal_weight,vertical_weight,lambda2_true,lambda3_true,fiedler_gap,lambda2_estimate_mean,lambda2_estimate_min,lambda2_estimate_max,positive_estimation_error,subspace_sine_error,active_edge_count,consensus_step,consensus_contraction,component_1,component_2,component_3,component_4
ours-r1-ablation,1,1,0,11.5,11.5,0.09978946586628142,0.09978946586628142,0.1995789317325628,0.19957893173256283,2.7755575615628914e-17,0.20860809430608568,0.1994269191731663,0.21778926943900517,0.009029162573522875,0.999976135638665,4,0.16666666666666666,0.9667368447112396,0.14064022735167317,0.5579100982943774,0.13096596545291284,-0.7953359608952552
ours-r1-ablation,1,1,1,11.552335956242944,11.447664043757056,0.09686583265767072,0.10271729112465539,0.19373166531534144,0.20543458224931085,0.01170291693396941,0.2035941625561936,0.19696747721679148,0.2102208478955957,0.009862497240852142,0.7208076469977751,4,0.16666666666666666,0.9677113891141098,0.09808422259868133,0.6083133628178735,0.09322782295758658,-0.7744421693302855
ours-r1-ablation,1,1,2,11.604528463267654,11.395471536732346,0.09395714859184769,0.10563849500971527,0.18791429718369534,0.21127699001943054,0.023362692835735194,0.20098196187586143,0.19626845401389104,0.20569546973783184,0.013067664692166081,0.7101039867820901,4,0.16666666666666666,0.9686809504693841,0.06396547658650245,0.6413723761265382,0.06891421946284625,-0.7562330876887075
ours-r1-ablation,1,1,3,11.656434465040231,11.343565534959769,0.09107401206237309,0.10854231139230144,0.18214802412474618,0.21708462278460292,0.03493659865985674,0.19940417546567543,0.1960653522093221,0.20274299872202872,0.017256151340929254,0.699923894932205,4,0.16666666666666666,0.969641995979209,0.036100706990440955,0.6628724530302961,0.05558692317764365,-0.7418225788692974
ours-r1-ablation,1,1,4,11.70791169081776,11.29208830918224,0.08822676406607337,0.11141812383886705,0.1764535281321467,0.2228362476777341,0.0463827195455874,0.19808855982784546,0.1957220387227788,0.20045508093291217,0.021635031695698748,0.6888398361097791,4,0.16666666666666666,0.9705910786446422,0.012307568001197174,0.6768115176640462,0.050796962579175986,-0.7309426078918471
ours-r1-ablation,1,1,5,11.75881904510252,11.24118095489748,0.08542539545489596,0.11425556434046111,0.17085079090979186,0.22851112868092224,0.05766033777113039,0.1966156463567308,0.19493451021126978,0.1982967825021917,0.025764855446938933,0.6761696851628262,4,0.16666666666666666,0.9715248681817014,-0.009113563179811632,0.6857426513127998,0.05253016122999617,-0.7228344848944886
ours-r1-ablation,1,1,6,11.809016994374947,11.190983005625053,0.08267946219970031,0.11704460603116192,0.16535892439940061,0.23408921206232383,0.06873028766292322,0.19475948795891865,0.1935623533420707,0.1959566225757666,0.029400563559518034,0.6616492941337253,4,0.16666666666666666,0.9724401792667665,-0.029331080881036226,0.6912532846061482,0.05922894498433547,-0.7166847367007547
ours-r1-ablation,1,1,7,11.8583679495453,11.1416320504547,0.07999801045169483,0.11977564775346877,0.1599960209033897,0.23955129550693754,0.07955527460354783,0.19240348371259725,0.19154927746072611,0.19325768996446846,0.03240746280920753,0.645250869236168,4,0.16666666666666666,0.9733339965161018,-0.049069790499786756,0.6943263225943588,0.06969381172809622,-0.7117893925925493
ours-r1-ablation,1,1,8,11.9067366430758,11.0932633569242,0.07738951286009495,0.12243958859892094,0.1547790257201899,0.24487917719784189,0.09010015147765199,0.18949975790299123,0.18888930103443496,0.1901102147715475,0.034720732182801334,0.627091715780525,4,0.16666666666666666,0.9742034957133017,-0.06871817872552141,0.6955760678110621,0.08297887130846733,-0.7075952778878655
ours-r1-ablation,1,1,9,11.953990499739547,11.046009500260453,0.07486181724181325,0.12502789088738686,0.1497236344836265,0.2500557817747738,0.10033214729114728,0.18604965715598967,0.18561287144807315,0.18648644286390625,0.03632602267236318,0.6073879192771486,4,0.16666666666666666,0.9750460609193956,-0.08842209389643901,0.6953969140782121,0.09831227826473608,-0.7036949545780047
ours-r1-ablation,1,1,10,12.0,11.0,0.07242210831572872,0.12753263043394406,0.14484421663145744,0.255065260867888,0.11022104423643056,0.18209292302898383,0.18178006560226834,0.18240578045569927,0.03724870639752639,0.5864268652659944,4,0.16666666666666666,0.9758592972280904,-0.10816025541929876,0.6940566812099364,0.11504401964587845,-0.6998078650616695
ours-r1-ablation,1,1,11,12.044639035015027,10.955360964984973,0.07007688282542139,0.1299465333715009,0.14015376565084284,0.2598930667430017,0.11973930109215888,0.17769942135815436,0.1774750665268495,0.17792377618945915,0.037545655707311526,0.564545631212076,4,0.16666666666666666,0.9766410390581929,-0.12780430974785928,0.6917547745074546,0.13261571365652233,-0.695759342798598
ours-r1-ablation,1,1,12,12.087785252292473,10.912214747707527,0.06783193799456627,0.1322629992321747,0.1356638759891326,0.2645259984643494,0.12886212247521678,0.17296090314185525,0.17279977354337472,0.17312203274033575,0.03729702715272265,0.5421099040753757,4,0.16666666666666666,0.9773893540018113,-0.1471665883823536,0.6886571552088083,0.15054576514143847,-0.6914606112354716
ours-r1-ablation,1,1,13,12.129320391049838,10.870679608950162,0.06569237290144903,0.13447611042226862,0.13138474580289805,0.2689522208445371,0.13756747504163908,0.1679822676573338,0.167866314949304,0.1680982203653636,0.03659752185443574,0.5194923394665737,4,0.16666666666666666,0.9781025423661837,-0.16603758922099932,0.6849154931381708,0.16842379381805891,-0.6868900578026803
ours-r1-ablation,1,1,14,12.16913060635886,10.83086939364114,0.06366260203442069,0.13658062863626308,0.12732520406884132,0.2731612572725262,0.1458360532036849,0.16287282390932584,0.16278916403485405,0.16295648378379768,0.03554761984048452,0.49705147670065314,4,0.16666666666666666,0.9787791326551931,-0.1842142361365726,0.6806755220799604,0.18590940186197313,-0.6820756083626397
ours-r1-ablation,1,1,15,12.207106781186548,10.792893218813452,0.061746380007415794,0.13857197912785907,0.12349276001483159,0.2771439582557182,0.1536511982408866,0.15773841215957046,0.1576778539215492,0.1577989703975917,0.034245652144738875,0.47511311788490956,4,0.16666666666666666,0.9794178733308614,-0.20151959190248206,0.6760784123549282,0.20273172256998237,-0.6770783372762813
ours-r1-ablation,1,1,16,12.243144825477394,10.756855174522606,0.05994683618030585,0.1404462240765282,0.11989367236061174,0.2808924481530564,0.16099877579244468,0.15267516096508693,0.15263115254830695,0.15271916938186691,0.03278148860447519,0.4539559044336544,4,0.16666666666666666,0.9800177212732314,-0.21781481441063774,0.6712582046578656,0.21868760376876986,-0.6719777905765875
ours-r1-ablation,1,1,17,12.27714596145697,10.72285403854303,0.05826651774666918,0.14220002654524705,0.11653303549333838,0.2844000530904941,0.16786701759715572,0.14776531577425092,0.1477331891238282,0.1477974424246736,0.031232280280912544,0.43380209051410484,4,0.16666666666666666,0.980577827417777,-0.23300449036501153,0.6663376612869409,0.23363754054578018,-0.6668596004869978
ours-r1-ablation,1,1,18,12.309016994374947,10.690983005625053,0.05670743972283814,0.1438306067119581,0.1134148794456763,0.28766121342391626,0.17424633397823996,0.14307517138511827,0.14305160046825488,0.1430987423019817,0.029660291939441974,0.41481361162897085,4,0.16666666666666666,0.9810975200923873,-0.24703679673629217,0.6614241858010519,0.24749942337089864,-0.6618058155033147
ours-r1-ablation,1,1,19,12.338670567945424,10.661329432054576,0.05527114019583064,0.14533569217081865,0.11054228039166121,0.2906713843416373,0.1801291039499761,0.13865481347761216,0.13863742666038034,0.138672200294844,0.02811253308595095,0.3970927827382806,4,0.16666666666666666,0.9815762866013898,-0.25990007138739935,0.6566067806894601,0.2602407356074729,-0.6568880716859545
ours-r1-ablation,1,1,20,12.36602540378444,10.63397459621556,0.053958739160941425,0.14671346414065892,0.10791747832188281,0.29342692828131794,0.18550944995943514,0.13453919219681393,0.13452629566980506,0.13455208872382277,0.02662171387493112,0.3806864981911684,4,0.16666666666666666,0.9820137536130196,-0.2716172836716875,0.6519544364952446,0.27187004316792573,-0.6521634199742872
ours-r1-ablation,1,1,21,12.391006524188368,10.608993475811632,0.05277099929768423,0.14796250139242434,0.1055419985953685,0.29592500278484873,0.19038300418948023,0.1307500137586623,0.13074039478567193,0.13075963273165264,0.025208015163293795,0.3655926693767945,4,0.16666666666666666,0.9824096669007719,-0.2822396343912849,0.6475159332648199,0.28242856267206007,-0.6476723951501842
