iteration,lambda2,lambda3,fiedler_gap,control_error_to_central,objective,objective_gap,exact_global_matrix_margin,minimum_local_matrix_margin,master_residual_eta_q,resource_zero_sum_error,resource_projection_count,maximum_resource_state_norm,active_edge_count,consensus_step,consensus_contraction
0,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,99.34194396511218,4967.603384750611,4967.480073223688,0.6134841805891073,-1.8642728322050604e-11,36117.813675707715,1.1107649934270853e-16,6.0,1.0,6,0.1,0.978579675413696
1,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,261.68031869288086,34325.191798721,34325.06848719408,1.6030566580174737,-5.613119792105963e-12,31653.262314647214,1.1107649934270853e-16,6.0,1.0,6,0.1,0.978579675413696
2,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,987.108094961825,487517.9310172132,487517.8077056863,6.059831081042975,-1.849459009857379e-11,357961.70588465245,3.1031676915590914e-17,6.0,1.0,6,0.1,0.978579675413696
3,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,261.8686413662609,34374.46755829141,34374.34424676449,1.6092387332653444,-1.0147664569719106e-11,31712.139251160304,2.237726045655905e-16,6.0,1.0,6,0.1,0.978579675413696
4,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,989.1561133945855,489540.62985186535,489540.50654033845,6.037581266685176,-1.8871726307149632e-11,360424.65469870827,1.2412670766236366e-16,6.0,1.0000000000000002,6,0.1,0.978579675413696
5,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,264.62491550526715,35099.025340744265,35098.902029217345,1.588546808374,-7.76893524250172e-12,32639.97865883564,1.3877787807814457e-16,6.0,1.0000000000000002,6,0.1,0.978579675413696
6,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,1021.6107190933768,522148.2229147843,522148.0996032574,5.637266757398643,-1.8762133853533506e-11,400801.2090512862,1.4220500840710912e-16,6.0,1.0,6,0.1,0.978579675413696
7,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,300.46485470498214,45209.909521541435,45209.786210014514,1.302741184141505,-9.709235876787396e-12,43654.8394887263,1.1631705747361534e-16,6.0,1.0,6,0.1,0.978579675413696
8,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,975.9619288766518,476479.501817782,476479.3785062551,4.24023076357484,-1.8150896859367913e-11,425168.0485304873,1.249000902703301e-16,6.0,1.0,6,0.1,0.978579675413696
9,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,400.6664818565244,80360.64053860624,80360.51722707931,1.738099042463347,-1.856540126846043e-11,174605.46217897747,1.3597399555105182e-16,6.0,1.0,6,0.1,0.978579675413696
10,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,312.3996637904328,48870.17017178038,48870.04686025346,1.3577985507870596,-7.043304746373679e-12,45387.22297211419,1.7772239894833365e-16,6.0,1.0,6,0.1,0.978579675413696
11,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,941.0479730607684,443005.7306200443,443005.6073085174,4.078788447664598,-1.831764067848013e-11,409961.0902198238,1.249000902703301e-16,6.0,1.0,6,0.1,0.978579675413696
12,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,407.3391612524403,83058.25693071354,83058.13361918661,1.7697228848369009,-1.8263119217852336e-11,177510.63738229603,1.6243534171511178e-16,6.0,1.0,6,0.1,0.978579675413696
13,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,310.80982706560354,48374.19598356902,48374.0726720421,1.3488068420966226,-9.552177565529685e-12,45156.672964966456,1.249000902703301e-16,3.0,1.0,6,0.1,0.978579675413696
14,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,829.9833195426095,344630.55748160894,344630.43417008204,3.6037973364002913,-1.8128130518716997e-11,361588.87972883205,1.1102230246251565e-16,6.0,1.0,6,0.1,0.978579675413696
15,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,407.9243324592744,83296.66748746944,83296.54417594252,1.7698269343091397,-1.8053531500773784e-11,177766.55271712766,5.721958498152797e-17,6.0,1.0,6,0.1,0.978579675413696
16,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,311.80539635184664,48684.553937535034,48684.430626008114,1.355300548379088,-9.386486199018678e-12,45300.962817514905,1.3092278833360675e-16,0.0,0.9074114310508223,6,0.1,0.978579675413696
17,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,684.8196400336216,234649.09186901458,234648.96855748765,2.9677190220049146,-1.8877143126132092e-11,298363.8334605547,5.551115123125783e-17,6.0,1.0,6,0.1,0.978579675413696
18,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,410.3746321156599,84300.04310350446,84299.91979197753,1.7852187587167996,-1.8902951520921706e-11,178833.2655370526,1.1857187100668868e-16,6.0,1.0,6,0.1,0.978579675413696
19,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,310.0586820617859,48140.83621480369,48140.71290327677,1.3454904339274352,-1.0031409036231439e-11,45047.63137335487,7.28583859910259e-17,0.0,0.7139183436747926,6,0.1,0.978579675413696
20,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,525.6491782153765,138276.705470681,138276.58215915406,2.2821664489614637,-3.14018491736755e-16,229040.12395410187,1.2719202621569003e-16,6.0,1.0,6,0.1,0.978579675413696
21,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,406.08444823261175,82547.39335293518,82547.27004140825,1.7618443267791137,-1.792083906185927e-11,176965.25716453273,1.2719202621569003e-16,6.0,1.0,6,0.1,0.978579675413696
22,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,310.85263957873116,48387.710298886894,48387.58698735997,1.3511865335542128,-8.409601657189768e-12,45162.641317865295,6.206335383118183e-17,0.0,0.5841462978546127,6,0.1,0.978579675413696
23,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,410.1845183187114,84221.54263259919,84221.41932107226,1.7757608566120346,-1.8064424017205904e-11,178749.72224325285,1.249000902703301e-16,6.0,1.0,6,0.1,0.978579675413696
24,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,401.95273869965797,80877.42225262715,80877.29894110022,1.7494588200563237,-1.878988523774074e-11,175165.17725789634,1.3877787807814457e-17,6.0,1.0,6,0.1,0.978579675413696
25,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,308.8585160182588,47769.150100043524,47769.0267885166,1.3402194175908755,-5.380922743622366e-12,44873.4031831608,1.1616172636829685e-16,0.0,0.5384422688267293,6,0.1,0.978579675413696
26,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,308.45757258013197,47645.389738713595,47645.266427186674,1.3391320510420839,-1.859523302517542e-11,134444.76234980844,2.830524433501838e-16,6.0,1.0000000000000002,6,0.1,0.978579675413696
27,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,390.96659971443074,76519.00005385082,76518.87674232389,1.6962358447990733,-1.8396871469176458e-11,170380.88748423845,8.886119947416683e-17,6.0,1.0,6,0.1,0.978579675413696
28,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,309.2815801274643,47900.21401570343,47900.09070417651,1.344419452059732,-7.81887399576573e-12,44934.544442358885,5.561946577567963e-17,0.0,0.5302437694293834,6,0.1,0.978579675413696
29,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,232.01979003173793,26970.795435065356,26970.672123538432,1.0027331996148579,-1.845824245815526e-11,101151.30005711855,1.2412670766236366e-16,6.0,1.0,6,0.1,0.978579675413696
30,0.21420324586304035,0.21420324586304054,1.942890293094024e-16,375.7522496975969,70683.20026633545,70683.07695480852,1.6346947319714638,-1.8418656502040696e-11,163753.660317641,1.1443916996305594e-16,6.0,1.0,6,0.1,0.978579675413696
