method,step,time_s,lambda_req,lambda_des,lambda2_pre,lambda2_post,connectivity_safety_margin,lambda3_post,fiedler_gap_post,exact_global_matrix_margin,minimum_local_matrix_margin,minimum_inner_local_matrix_margin,master_residual_eta_q,allocation_inner_iterations,control_correction,task_error,active_edge_count,edge_appearances,edge_disappearances,cumulative_edge_appearances,cumulative_edge_disappearances,consensus_step,consensus_contraction,resource_zero_sum_error,p1_x_m,p1_y_m,p2_x_m,p2_y_m,p3_x_m,p3_y_m,p4_x_m,p4_y_m,p5_x_m,p5_y_m,p6_x_m,p6_y_m
nominal,0,0.025,0.195,0.205,0.9528077435349479,0.8762984178447412,0.6812984178447412,0.8836978796439652,0.007399461799224016,-0.9152771474084374,,,,,0.0,18.896012857183294,15,0,0,0,0,0.1,0.9123701582155259,,12.306257325,0.12607812499999999,6.0172722125,10.6527074375,-6.1439318625,10.8792142875,-12.35893805,-0.0768666125,-6.2839585375,-10.408779825,6.1673634625,-10.5778495625
nominal,1,0.05,0.195,0.205,0.8762984178447408,0.8023148238030651,0.607314823803065,0.8085050663844858,0.006190242581420757,-1.0553312858320494,,,,,0.0,18.18741237503892,15,0,0,0,0,0.1,0.9197685176196935,,12.593744837812501,0.16060215781249998,6.16662450453125,10.90274995859375,-6.25402729265625,11.13949862671875,-12.645021010625001,-0.10015873953125,-6.44574952984375,-10.6544866565625,6.32236587015625,-10.824055678906252
nominal,2,0.07500000000000001,0.195,0.205,0.8023148238030651,0.7314332346564388,0.5364332346564389,0.7391239773425847,0.0076907426861458905,-1.132147320862716,,,,,0.0,17.50538441097496,15,0,0,0,0,0.1,0.9268566765343561,,12.870451568894532,0.19383153939453124,6.3103760856113285,11.143415885146485,-6.35999414418164,11.390022303216796,-12.920375860226564,-0.12257741179882813,-6.60147335997461,-10.890979481941407,6.47155568752539,-11.061029065947267
nominal,3,0.1,0.195,0.205,0.7314332346564385,0.6650644713280865,0.47006447132808654,0.6757307497285664,0.010666278400479845,-1.154213314060101,,,,,0.0,16.8489324955634,15,0,0,0,0,0.1,0.9334935528671914,,13.136781797560987,0.2258148191672363,6.448736982400904,11.375056839453492,-6.461987238774829,11.631151341846167,-13.185404902968067,-0.14415538385637208,-6.751357546475562,-11.118603826368604,6.615150886743188,-11.289115950974244
nominal,4,0.125,0.195,0.205,0.6650644713280864,0.6042891467945342,0.40928914679453415,0.6182035006577357,0.0139143538632015,-1.1321018429138967,,,,,0.0,16.21709752697977,15,0,0,0,0,0.1,0.9395710853205466,,13.39312464265245,0.25659872594846495,6.58190934556087,11.598011257973987,-6.560155592320773,11.863238041526936,-13.440495356606764,-0.16492418196175812,-6.895621075982729,-11.337692257879782,6.753361265990319,-11.50864957781271
nominal,5,0.15000000000000002,0.195,0.205,0.604289146794534,0.5495439314592667,0.3545439314592667,0.5664958567610774,0.016951925301810666,-1.0767785989049057,,,,,0.0,15.60895636971803,15,0,0,0,0,0.1,0.9450456068540734,,13.639854631052984,0.2862282362253975,6.710087745102338,11.812604885799962,-6.654642632608744,12.086621489969675,-13.68601991823401,-0.18491415013819218,-7.034474723133377,-11.54856487320929,6.886388756015681,-11.719950693644734
nominal,6,0.17500000000000002,0.195,0.205,0.5495439314592666,0.5008830172185803,0.3058830172185803,0.5204614890137013,0.019578471795120955,-0.9986306812071728,,,,,0.0,15.023620505853605,15,0,0,0,0,0.1,0.9499116982781419,,13.877332244888496,0.31474663986694507,6.833459454661,12.019151252582462,-6.7455864088859165,12.301628059095812,-13.922337308800234,-0.20415449450801,-7.168121358515875,-11.751529765463943,7.014427715165093,-11.923328017633056
nominal,7,0.2,0.195,0.205,0.5008830172185805,0.45811121872107474,0.26311121872107474,0.47981546831093563,0.02170424958986089,-0.9069510867341364,,,,,0.0,14.460234736884095,15,0,0,0,0,0.1,0.9541888781278925,,14.105904448205177,0.3421956033719346,6.952204725111212,12.21795213061062,-6.833119793552695,12.50857188187972,-14.149792797220226,-0.2226733259639596,-7.2967562450715295,-11.946883474259044,7.137665213346402,-12.119078691971817
nominal,8,0.225,0.195,0.205,0.458111218721075,0.42085721516038754,0.22585721516038754,0.4441534630899904,0.02329624792960283,-0.8097103226330735,,,,,0.0,13.917975934250942,15,0,0,0,0,0.1,0.9579142784839613,,14.325905193897484,0.3686152307454871,7.066497047919541,12.409297975712722,-6.9173706762944684,12.70775531130923,-14.368718704824467,-0.2404977012403111,-7.420567323381348,-12.13491141897433,7.256281305345912,-12.307488716022874
nominal,9,0.25,0.195,0.205,0.4208572151603879,0.3886267395378207,0.19362673953782067,0.41298317637829657,0.024356436840475892,-0.7135050236066525,,,,,0.0,13.396051836716532,15,0,0,0,0,0.1,0.9611373260462179,,14.537655911626327,0.3940441220925313,7.176503408622558,12.593468351623494,-6.998462150933426,12.899469362135134,-14.579434890893548,-0.25765366244379945,-7.539735486254547,-12.315888315762793,7.37044929389544,-12.488833364172017
