method,seed,step,time_s,lambda_req,lambda_des,lambda2_pre,lambda2_post,connectivity_safety_margin,lambda3_post,fiedler_gap_post,lambda2_estimate_mean,lambda2_estimate_max,maximum_unsafe_overestimation,subspace_sine_error,aligned_basis_spectral_error,maximum_aligned_row_error,procrustes_factor_disagreement,maximum_prenormalized_row_norm,minimum_local_gram_eigenvalue,minimum_exact_cross_singular_value,maximum_laplacian_eigenvalue,consensus_contraction,exact_global_matrix_margin,estimated_tightened_global_margin,estimated_untightened_global_margin,minimum_local_matrix_margin,minimum_inner_local_matrix_margin,solver_feasible,offline_total_spectral_error_bound,offline_maximum_local_error_bound,beta_total,master_residual_eta_q,resource_zero_sum_error,control_correction,task_error,active_edge_count,edge_appearances,edge_disappearances,consensus_rounds,consensus_step,diffusion_step,warmup_steps,allocation_inner_iterations,p1_x_m,p1_y_m,p2_x_m,p2_y_m,p3_x_m,p3_y_m,p4_x_m,p4_y_m,p5_x_m,p5_y_m,p6_x_m,p6_y_m
estimated-subspace-empirical,14,0,0.025,0.195,0.205,0.9528077435349479,0.9007295882493259,0.705729588249326,0.9100893783199464,0.009359790070620488,0.9528047174096619,0.9528116788260177,3.935291069789848e-06,1.3921114271282252e-05,1.4014553952580328e-05,8.571707739661625e-06,4.724453205856524e-16,0.30741206827824247,0.2686442520011903,0.9999983884566314,1.4997275216062778,0.9047192256465052,0.15108638906801888,0.15108547312211312,0.15108547312211312,-7.218696340355991e-13,-1.8585056863427576e-11,True,0.0017473483160983915,0.00029482821490451326,0.0,279.8800519819719,1.4304896245381992e-17,9.634559942673524,19.13586989079843,15,0,0,80,0.1,0.5,80,10,12.2038731181804,0.1148559660656037,5.963983080844504,10.56612536809013,-6.108848120783802,10.796345330303906,-12.262034582719096,-0.06286095352351925,-6.227665480881289,-10.317436590870258,6.1325387658802075,-10.496234678691572
estimated-subspace-empirical,14,1,0.05,0.195,0.205,0.9007295882493258,0.8502491182606853,0.6552491182606852,0.8576546853609954,0.007405567100310151,0.9007267567371925,0.9007369994773459,7.411228020060001e-06,0.0017285315986566455,0.0017285323110207602,0.0012061747771778064,6.740247336974035e-07,0.32262557041692413,0.2966811029194648,0.9999970582017956,1.4544227292455674,0.9099270411750674,0.015431260922574424,0.015477703532788307,0.015477703532788307,-1.749649458893585e-11,-1.8291705940312978e-11,True,0.20854066122031079,0.03531574873377661,0.0,244.25936402337172,2.7755575615628914e-17,9.32159905630617,18.649987917114156,15,0,0,80,0.1,0.5,80,10,12.400987003929261,0.1357727941933116,6.055733282292402,10.739889848433156,-6.183842061671043,10.98730859001889,-12.44667123443518,-0.07357398142683108,-6.332169546770545,-10.483531760609258,6.247273328839288,-10.671873879524059
estimated-subspace-empirical,14,2,0.07500000000000001,0.195,0.205,0.8502491182606853,0.8033373896487573,0.6083373896487574,0.8095872610421132,0.006249871393355866,0.8502446833383007,0.8502603151580215,1.1196897336196443e-05,0.0020582260227017704,0.002058227357326838,0.0013757929619740102,1.3679258284406377e-06,0.3376124879130144,0.32572340495776625,0.9999958855877124,1.4104476902507284,0.9149750881739315,0.02105218140153832,0.021123047961323315,0.021123047961323315,-1.679791568189967e-11,-1.8535169628822367e-11,True,0.23507452162432435,0.039646428537212786,0.0,228.09366745154065,1.3877787807814457e-17,9.980297259176933,18.198252140847032,15,0,0,80,0.1,0.5,80,10,12.581548473793882,0.15438707166172322,6.1401052420057916,10.8957867770119,-6.248901485339836,11.165314712214684,-12.628326287025038,-0.07400482281397819,-6.422430809919464,-10.639552349608131,6.357997587643967,-10.83616616498195
estimated-subspace-empirical,14,3,0.1,0.195,0.205,0.8033373896487578,0.7605817034345571,0.5655817034345572,0.765112662388101,0.00453095895354394,0.8033311202668081,0.8033543219766459,1.6932327888130594e-05,0.002518310282516592,0.0025183118698642996,0.0015852024585598758,2.626007885863052e-06,0.35124742076753773,0.35341883499074483,0.9999940417760839,1.3701684604251556,0.9196662610351243,0.021526596641498377,0.021633744502664788,0.021633744502664788,-1.7547641577412204e-11,-1.8161200591128023e-11,True,0.2724249267797757,0.04591343468219052,0.0,346.02610101605785,1.4304896245381992e-17,10.483744955317404,17.77696453450232,15,0,0,80,0.1,0.5,80,10,12.749515894590205,0.17588199296359516,6.217009753747875,11.044766955567663,-6.314195349311608,11.333003672087274,-12.796056804909863,-0.08253031475820617,-6.51459161754488,-10.780769394596184,6.455894090928346,-10.986515010559163
estimated-subspace-empirical,14,4,0.125,0.195,0.205,0.7605817034345574,0.7206454169246986,0.5256454169246987,0.7243536926495067,0.00370827572480803,0.7605717223089824,0.7606038471694158,2.2143734858315334e-05,0.0025934547222096825,0.0025934598033518714,0.00159155797630496,3.620991419172526e-06,0.3635524505527315,0.37988816703142253,0.999992220982829,1.3343001189691446,0.9239418296565443,0.033294321583757364,0.03334216156341667,0.03334216156341667,-1.706631654787931e-11,-1.8270038664383143e-11,True,0.26696983959523624,0.04515635885373273,0.0,226.44493416543747,1.3877787807814457e-17,10.820890813666974,17.379523381930053,15,0,0,80,0.1,0.5,80,10,12.908375569287388,0.19182102506577384,6.290001998792919,11.180960035656126,-6.375952093450777,11.487931543334874,-12.956609370519452,-0.09028010825951216,-6.599375116217262,-10.90992899344131,6.555987958983949,-11.134142569595262
estimated-subspace-empirical,14,5,0.15000000000000002,0.195,0.205,0.720645416924699,0.6835867408337305,0.4885867408337305,0.686729824254443,0.003143083420712456,0.7206318493370589,0.7206753660642669,2.9949139567886363e-05,0.002905038185101017,0.002905049404816871,0.001809677572058929,5.090220789485998e-06,0.3747349609151041,0.4047721963106498,0.9999891877414885,1.3026938806214148,0.9279354583075301,0.030089955477470006,0.03023023900999149,0.03023023900999149,-4.293221566713447e-17,-1.796367314674774e-11,True,0.28527759602636665,0.04836852650796624,0.0,154.22145167989694,6.938893903907228e-18,11.033095884904359,17.002381515778364,15,0,0,80,0.1,0.5,80,10,13.060964546600708,0.20817781232033636,6.362093650483982,11.307162006228856,-6.439094584820029,11.635483605415883,-13.10875564627035,-0.10047521981342147,-6.6803709028575105,-11.03026366652443,6.652402609113255,-11.271695557638441
estimated-subspace-empirical,14,6,0.17500000000000002,0.195,0.205,0.6835867408337303,0.6488639860659157,0.45386398606591566,0.651550450552729,0.0026864644868133114,0.6835669913009957,0.6836240950473298,3.7354213599516406e-05,0.0028761044378205,0.002876135720503365,0.0018291926881035124,6.22472418152451e-06,0.38568998798732224,0.4281763118424103,0.999985664483885,1.2743555213277002,0.931641325916627,0.011831578771323736,0.01199058999362474,0.01199058999362474,-2.6341661973589695e-12,-1.7515260873721318e-11,True,0.2709608626889076,0.045959684277191076,0.0,154.89987077096401,5.732467154385379e-17,11.023919466935109,16.63882785303402,15,0,0,80,0.1,0.5,80,10,13.206916344930777,0.22620560428799955,6.431334793900218,11.426289950669828,-6.497270783440303,11.77897979550486,-13.256553457502775,-0.10675772120160754,-6.757309560681525,-11.14717248521442,6.748620644378268,-11.404910713038381
estimated-subspace-empirical,14,7,0.2,0.195,0.205,0.6488639860659153,0.6166649654268179,0.4216649654268179,0.6190924385508446,0.002427473124026691,0.6488370495325217,0.6489152771789013,5.1291112985962783e-05,0.00316594781310784,0.003166011998640438,0.0020029970435811112,8.692603018268106e-06,0.3959420073426618,0.45032339392309023,0.9999803754137337,1.2486901517802547,0.9351136013934085,0.004087087476705409,0.004207981038145298,0.004207981038145298,-1.7482847050892632e-11,-1.7852748261152514e-11,True,0.28530402398156335,0.048711081217734375,0.0,309.7784059118112,5.015721274010177e-17,11.10919092378764,16.291525418865692,15,0,0,80,0.1,0.5,80,10,13.349744605331724,0.23936903716195784,6.496797034703932,11.541765241218254,-6.554455961218977,11.91332445126947,-13.398610977541274,-0.11551169012595118,-6.831330728479955,-11.258296550415395,6.835571711313714,-11.531725598103668
estimated-subspace-empirical,14,8,0.225,0.195,0.205,0.6166649654268178,0.5870810148580758,0.39208101485807584,0.5886599331219735,0.0015789182638976662,0.6166266578261211,0.6167247213596495,5.9755932831695446e-05,0.003012290752350189,0.00301245924231786,0.0018584919985782957,9.907857982352074e-06,0.4051597675271034,0.47088182614692314,0.9999739433835251,1.2253570773815603,0.9383335034573183,0.002261446780270028,0.0022563096758853643,0.0022563096758853643,-1.719466639317909e-11,-1.767657438086901e-11,True,0.2602446258680239,0.043785132807533905,0.0,284.177340175469,3.1031676915590914e-17,11.157240646460128,15.957504021874467,15,0,0,80,0.1,0.5,80,10,13.481012790655942,0.2518491330884737,6.5557898266903525,11.654273481118286,-6.609252361402989,12.048570825924163,-13.530678606872629,-0.11886536840094135,-6.897847854675723,-11.368025826857123,6.923838075119913,-11.659037387228464
estimated-subspace-empirical,14,9,0.25,0.195,0.205,0.5870810148580758,0.5595599733032087,0.3645599733032087,0.5610051645702688,0.0014451912670601086,0.5870281899349049,0.5871508364235285,6.982156545265461e-05,0.0032316599977505705,0.0032319872220128755,0.0019812843443603417,1.2710592490213221e-05,0.41365854938501134,0.49005648392455387,0.9999650469278776,1.204201077456466,0.9412918985141924,0.013482041165889733,0.013545690008577728,0.013545690008577728,-2.309280948519496e-12,-1.7265719210108202e-11,True,0.26744847113680126,0.04544670942095254,0.0,165.0635584187351,2.797157557069881e-17,11.229810165875566,15.63803305804926,15,0,0,80,0.1,0.5,80,10,13.609814315007682,0.26540614093344406,6.613473159632534,11.758139669026065,-6.661439722958033,12.176783764140934,-13.660316349710575,-0.1243989430679513,-6.9635447526852,-11.468871343321224,7.00832460641117,-11.779877720734284
