method,step,time_s,lambda_req,lambda_des,lambda2_pre,lambda2_post,connectivity_safety_margin,lambda3_post,fiedler_gap_post,exact_global_matrix_margin,minimum_local_matrix_margin,minimum_inner_local_matrix_margin,master_residual_eta_q,allocation_inner_iterations,control_correction,task_error,active_edge_count,edge_appearances,edge_disappearances,cumulative_edge_appearances,cumulative_edge_disappearances,consensus_step,consensus_contraction,resource_zero_sum_error,p1_x_m,p1_y_m,p2_x_m,p2_y_m,p3_x_m,p3_y_m,p4_x_m,p4_y_m,p5_x_m,p5_y_m,p6_x_m,p6_y_m
nominal,0,0.025,0.195,0.205,0.9528077435349479,0.8342327942230464,0.6392327942230465,0.8715806917707243,0.037347897547677866,-2.5159180573615023,,,,,0.0,28.835790122119743,15,0,0,0,0,0.1,0.9165767205776953,,12.90543503491553,0.15747969394741762,6.0172722125,10.6527074375,-6.1439318625,10.8792142875,-12.35893805,-0.0768666125,-6.2839585375,-10.408779825,6.1673634625,-10.5778495625
nominal,1,0.05,0.195,0.205,0.8342327942230462,0.7208639582375774,0.5258639582375775,0.7851777308177449,0.06431377258016746,-2.7546501786486335,,,,,0.0,27.754447992540253,15,0,0,0,0,0.1,0.9279136041762422,,13.769631093521728,0.22222773687180708,6.16662450453125,10.90274995859375,-6.25402729265625,11.13949862671875,-12.645021010625001,-0.10015873953125,-6.44574952984375,-10.6544866565625,6.32236587015625,-10.824055678906252
nominal,2,0.07500000000000001,0.195,0.205,0.7208639582375774,0.6204127372584882,0.4254127372584882,0.7043727214194875,0.08395998416099926,-2.6864215671562506,,,,,0.0,26.713656192819993,15,0,0,0,0,0.1,0.9379587262741512,,14.601419799930193,0.28454772818653196,6.3103760856113285,11.143415885146485,-6.35999414418164,11.390022303216796,-12.920375860226564,-0.12257741179882813,-6.60147335997461,-10.890979481941407,6.47155568752539,-11.061029065947267
nominal,3,0.1,0.195,0.205,0.6204127372584881,0.5362012952199602,0.3412012952199602,0.6306519391059725,0.09445064388601232,-2.3915795281971928,,,,,0.0,25.711894085589243,15,0,0,0,0,0.1,0.946379870478004,,15.402016429848342,0.34453071982695466,6.448736982400904,11.375056839453492,-6.461987238774829,11.631151341846167,-13.185404902968067,-0.14415538385637208,-6.751357546475562,-11.118603826368604,6.615150886743188,-11.289115950974244
nominal,4,0.125,0.195,0.205,0.5362012952199599,0.46837697811949897,0.27337697811949896,0.5649616558745708,0.09658467775507185,-1.9838511686480604,,,,,0.0,24.747698057379644,15,0,0,0,0,0.1,0.9531623021880501,,16.17259068614456,0.4022643492808615,6.58190934556087,11.598011257973987,-6.560155592320773,11.863238041526936,-13.440495356606764,-0.16492418196175812,-6.895621075982729,-11.337692257879782,6.753361265990319,-11.50864957781271
nominal,5,0.15000000000000002,0.195,0.205,0.46837697811949897,0.414544684615811,0.219544684615811,0.507637408875957,0.09309272426014598,-1.5788603975977942,,,,,0.0,23.819659380227908,14,0,1,0,1,0.1,0.9585455315384189,,16.914268407829667,0.45783296763024683,6.710087745102338,11.812604885799962,-6.654642632608744,12.086621489969675,-13.68601991823401,-0.18491415013819218,-7.034474723133377,-11.54856487320929,6.886388756015681,-11.719950693644734
nominal,6,0.17500000000000002,0.195,0.205,0.4145446846158109,0.37294161684438887,0.17794161684438886,0.45847491301179283,0.08553329616740396,-1.242931006392589,,,,,0.0,22.92642215346936,14,0,0,0,1,0.1,0.9627058383155611,,17.628133214951585,0.5113177627915302,6.833459454661,12.019151252582462,-6.7455864088859165,12.301628059095812,-13.922337308800234,-0.20415449450801,-7.168121358515875,-11.751529765463943,7.014427715165093,-11.923328017633056
nominal,7,0.2,0.195,0.205,0.3729416168443888,0.3422754051133857,0.14727540511338572,0.4168406275945018,0.07456522248111608,-1.0171648933288655,,,,,0.0,22.06668132271426,14,0,0,0,1,0.1,0.9657724594886614,,18.315228091806432,0.5627968781342655,6.952204725111212,12.21795213061062,-6.833119793552695,12.50857188187972,-14.149792797220226,-0.2226733259639596,-7.2967562450715295,-11.946883474259044,7.137665213346402,-12.119078691971817
nominal,8,0.225,0.195,0.205,0.34227540511338583,0.32018824690585923,0.12518824690585922,0.38179192951438773,0.0616036826085285,-0.863632322402474,,,,,0.0,21.239180773112473,14,0,0,0,1,0.1,0.9679811753094141,,18.97655691077922,0.6123455266516482,7.066497047919541,12.409297975712722,-6.9173706762944684,12.70775531130923,-14.368718704824467,-0.2404977012403111,-7.420567323381348,-12.13491141897433,7.256281305345912,-12.307488716022874
nominal,9,0.25,0.195,0.205,0.32018824690585923,0.3036677319048224,0.10866773190482237,0.3522158573462973,0.04854812544147491,-0.7337596241145,,,,,0.0,20.442711494120758,13,0,1,0,2,0.1,0.9696332268095178,,19.613085899040527,0.660036100849629,7.176503408622558,12.593468351623494,-6.998462150933426,12.899469362135134,-14.579434890893548,-0.25765366244379945,-7.539735486254547,-12.315888315762793,7.37044929389544,-12.488833364172017
